clause_text,clause_label
"Workers' Compensation Insurance as required by state law where the Work is performed. Employer Liability insurance with limits of at least $1,000,000 for each occurrence. A copy of the (i) certificate(s) of insurance and (ii) endorsements, acceptable to EDGE, shall be submitted to EDGE prior to commencement of any Work and renewals or replacements of such certificates shall be so delivered at least 30 days prior to the expiration or termination of each such policy. Umbrella/Excess Liability with limits of not less than $5,000,000 in excess of all the above-referenced Commercial General Liability, Employer's Liability and Business Auto Liability, except the following Subcontractor classifications will have limits of not less than the following: HVAC $2,000,000, Landscaping and Fencing $1,000,000. Such Umbrella/Excess Liability policies shall follow form to the terms and conditions of the underlying coverages and shall include a drop down feature in the event any underlying limits are exhausted. Subcontractor expressly acknowledges while EDGE retains the right to review the insurance provided by Subcontractor and' Lower-tier Subcontractors, EDGE is not obligated to perform such review. General Liability and Umbrella/Excess Liability policies must have ""per location or per project"" aggregates. A copy of the insurance policies shall promptly be made available to EDGE upon EDGE' request. EDGE's acceptance of or failure to object to the submitted documents does not constitute approval of coverage that is not in compliance with this Agreement or as acceptance or affirmation of the adequacy or applicability of such insurance. EDGE and Mediacom, LLC shall be named as an additional insured. Motor Vehicle Insurance covering bodily injury, death of a person or property damage arising out of the ownership, maintenance or use of any motor vehicles in an amount not less than $1,000,000 combined single limit for personal and bodily injury and death. Commercial General Liability Insurance providing the limits of coverage written on an occurrence basis, in no event less than $1,000,000 combined single limit and $2,000,000 in the aggregate for personal and bodily injury and death arising therefrom and Broad Form property damage arising out of any one occurrence in connection with the Work or any part thereof, which insurance shall include coverage with the same minimum limits for contractual liability and completed operations liability. All insurance must be written on an ""occurrence"" basis. Subcontractor shall obtain at its own cost and expense and maintain the insurance in full force and effect during the term of the Agreement as required herein.",Insurance
"This Agreement will be governed by and construed in accordance with the laws of the State of California excluding that body of law pertaining to conflict of laws, except with respect to issues governed by the copyright laws of the United States.",Governing Law
"Consultant will not, during the Term, and for a period of one (1) year thereafter, directly or indirectly:<omitted>(ii) solicit, participate in or promote the solicitation of any of the Company's clients, customers, or prospective customers with whom Consultant had a Material Contact (hereinafter defined) and/or regarding whom Consultant received Confidential Information, for the purpose of providing products or services (""Competitive Products/Services"").",No-Solicit Of Customers
"Consultant will not, during the Term, and for a period of one (1) year thereafter, directly or indirectly: (i) solicit, recruit or promote the solicitation or recruitment of any employee or consultant of the Company for the purpose of encouraging that employee or consultant to leave the Company's employ or sever an agreement for services",No-Solicit Of Employees
"The services provided for in this Agreement, are of a personal nature and Consultant may not assign or transfer any of Consultant's rights or delegate any of Consultant's obligations under this Agreement, in whole or in part, without the Company's express prior written consent. Any attempted assignment, transfer or delegation, without such consent, will be void.",Anti-Assignment
"Consultant agrees to disclose in writing to the Company all inventions, products, designs, drawings, notes, documents, information, documentation, improvements, works of authorship, processes, techniques, know-how, algorithms, technical and business plans, specifications, hardware, circuits, computer languages, computer programs, databases, user interfaces, encoding techniques, and other materials or innovations of any kind that Consultant may make, conceive, develop or reduce to practice, alone or jointly with others, in connection with performing Services or that result from or that are related to such Services, whether or not they are eligible for patent, copyright, mask work, trade secret, trademark or other legal protection (collectively, ""Innovations""). (ii) Ownership of Innovations At the Company's request and expense, during and after the term of this Agreement, Consultant will assist and cooperate with the Company in all respects and will execute documents, and, subject to the reasonable availability of Consultant, give testimony and take such further acts reasonably requested by the Company to enable the Company to acquire, transfer, maintain, perfect and enforce its Intellectual Property Rights and other legal protections for the Innovations. Consultant hereby appoints the officers of the Company, as Consultant's attorney-in-fact to execute documents on behalf of Consultant for this limited purpose. Consultant hereby irrevocably transfers and assigns to the Company, and agrees to irrevocably transfer and assign to the Company, all right, title and interest in and to the Innovations, including all worldwide patent rights (including patent applications and disclosures), copyright rights, mask work rights, trade secret rights, know-how, and any and all other intellectual property or proprietary rights (collectively, ""Intellectual Property Rights"") therein. Consultant also hereby irrevocably transfers and assigns to the Company, and agrees to irrevocably transfer and assign to the Company, and waives and agrees never to assert, any and all Moral Rights (as defined below) that Consultant may have in or with respect to any Innovation, during and after the term of this Agreement. Consultant agrees that, regardless of whether the Innovations are legally works made for hire, all Innovations will be the sole and exclusive property of the Company. Consultant and the Company agree that, to the fullest extent legally possible, all Innovations will be works made for hire owned exclusively by the Company.",Ip Ownership Assignment
"This Agreement shall be construed and enforced in accordance with, and the rights of the parties shall be governed by, the laws of the State of New York and the laws of the United States applicable therein.",Governing Law
"The Company shall immediately inform HOC and provide HOC with a copy of any other standstill provisions in any agreement pertaining to the matters set forth in this Article 6, entered into by the Company with another person subsequent to the date hereof, and notwithstanding delivery of such notice and a copy of any such provisions, HOC shall have the full benefit of any materially more favourable terms, in the opinion of HOC, contained in such standstill and Section 6.1 shall be deemed to be amended accordingly.",Most Favored Nation
"Subject to the provisions of Section 8.2, if the Company determines to solicit additional equity financing subsequent to exercise of the Option but prior to Commencement of Production (hereinafter defined) at the El Aguila project, it shall provide written notice to that effect to HOC and HOC shall be entitled to exclusively provide such financing upon the terms and conditions hereinafter set forth.",Exclusivity
"Subject to the provisions of Section 8.2, if the Company determines to solicit additional equity financing subsequent to exercise of the Option but prior to Commencement of Production (hereinafter defined) at the El Aguila project, it shall provide written notice to that effect to HOC and HOC shall be entitled to exclusively provide such financing upon the terms and conditions hereinafter set forth. If any of HOC Entities provides the Company an acceptance (the ""HOC JV Acceptance Notice"") in writing in respect of the Joint Venture Proposal Notice, within fifteen (15) Business Days of receipt thereof or such shorter period as may be specified in the Joint Venture Proposal Notice of a determination in respect of the Proposed Joint Venture, the Company shall negotiate exclusively in good faith with HOC to finalize terms of the Proposed Joint Venture acceptable to each of the Parties, acting reasonably, within a period of sixty days or such additional period as the Parties may from time to time agree in writing (the ""JV Negotiation Period""), failing which the Company shall be entitled to pursue other partners for the Proposed Joint Venture. If the Company or any of its Subsidiaries decides to seek a joint venture partner to develop, acquire or otherwise earn an interest in any Properties including the Existing Properties, in circumstances where the Company's participation in such joint venture is not dependent on the participation of a particular third party as joint venture partner (such as in the case of an earn-in) (each a ""Proposed Joint Venture""), the Company shall immediately provide notice to HOC (the ""Joint Venture Proposal Notice"") specifying sufficient information regarding the particulars of the Proposed Joint Venture to allow HOC to make a reasoned decision in respect of participating in the Proposed Joint Venture, including to the extent any such terms are determinable at such time: (A) a description of the Property in respect of which the Proposed Joint Venture relates, and (B) the terms, including the purchase price, for the Proposed Joint Venture, and if applicable, a true copy of any related term sheet setting forth such terms. If HOC delivers the Financing Election, the purchase price for each share shall be equal to eighty percent (80%) of the average closing price of the Shares during the thirty (30) calendar days preceding the date HOC delivers the Financing Election The Rights Notice shall specify sufficient information regarding the particulars of the issuance or sale of the Additional Securities to allow HOC to make a reasoned decision in respect of making the investment, including to the extent any such terms are determinable at such time: (i) the total number of equity securities outstanding as of the date thereof; (ii) the total number of Additional Securities which are being offered; (iii) the rights, privileges, restrictions, terms and conditions of such Additional Securities; (iv) the amount payable by HOC for the Additional Securities to which it is entitled pursuant to Section 4.1(a); and (v) the proposed closing date, and thereafter, to the extent it is not included in the Rights Notice, the Company shall immediately provide notice to HOC of such information as it is determined. Closing of the purchase and sale of the Additional Shares shall take place within ten (10) business days of the delivery of the Option Exercise Notice, such date being referred to as the ""Subsequent Closing Date"". Following delivery of the Acceptance Notice, if any, the HOC Entities shall pay for, and the Company shall issue to the relevant HOC Entities, free and clear of any liens, the number of Additional Securities specified in the Acceptance Notice and, except as otherwise agreed, the Company shall provide HOC with substantially the same closing documents, including opinions, if applicable, as are delivered to the other persons subscribing for Additional Securities on the closing date for such issuance. If HOC wishes to exercise the Option, it shall give written notice to the Company (the ""Option Exercise Notice"") prior to the Option Expiration Date in the manner set forth in Section 12.1 of this Agreement. Subject to the provisions of subsection (g) of this Section 4.1 and Section 8.2 hereof, if at any time after the Closing Date, the Company proposes to issue or sell Equity Securities (""Additional Securities"") other than (i) under any Stock Option Plan, (ii) pursuant to the exercise of options under any Stock Option Plan, (iii) upon the exercise, exchange or conversion of any Convertible Securities, or (iv) for property other than money, the HOC Entities shall have the right to subscribe for and purchase Additional Securities, at the price at which such Additional Securities are offered for sale to other purchasers (the ""Other Purchasers""), up to its Pro Rata Interest (as defined below) prior to giving effect to the issuance or sale of such Additional Securities If the Company issues Equity Securities in circumstances that would not give rise to the rights of the HOC Entities pursuant to Section 4.1(a) (the ""Non-Participating Transaction""), then in any concurrent or subsequent transaction which does give rise to the rights of the HOC Entities pursuant to Section 4.1(a) (the ""Participating Transaction""), the Company shall allow the HOC Entities to subscribe for and purchase Additional Securities in an amount greater than HOC's Pro Rata Interest; provided that in the Participating Transaction, HOC shall not be entitled to purchase any more than its Pro Rata Interest of the securities sold collectively in the Non-Participating Transaction and the Participating Transaction. Closing of the subscription, purchase and sale shall be at such place and time as the Parties agree but not more than ten (10) days from delivery of the Financing Election. If HOC does not provide HOC JV Acceptance Notice to the Company within fifteen (15) Business Days or such shorter period as may be specified in the Joint Venture Proposal Notice, of receiving of the Joint Venture Proposal Notice, the Company may enter into negotiations with any other person regarding the Proposed Joint Venture Election. If HOC delivers the Financing Election, one or more of the HOC Entities shall pay the purchase price for, and the Company shall issue, additional Shares, free and clear of all liens and encumbrances. HOC shall have ten (10) Business Days from delivery of such notice in which to notify the Company that it desires to provide all of such financing (the ""Financing Election"") HOC shall give notice (an ""Acceptance Notice"") to the Company not later than 5:00 p.m. (Denver time) on the tenth business day following the deemed receipt of any Rights Notice given under paragraph 4.1(c) setting out the number of Additional Securities, if any, which any of HOC Entities intends to subscribe for and purchase and, if applicable, the name and address of HOC Entity whose name in which such securities should be registered, provided that if HOC, acting reasonably, determines that it has insufficient information to make such investment decision, HOC shall notify the Company of the information required to make such investment decision and thereafter shall have the longer of (i) the remainder of the ten (10) Business Days set out in the first sentence of this paragraph; or (ii) two (2) Business Days from the receipt of such additional information to make the investment decision and deliver or refrain from delivering the Acceptance Notice. Notwithstanding the preceding sentence, the Rights Notice shall be deemed to include sufficient information to make such investment decision if it includes the information specified in items (i) to (iv) of Section 4.1(d). If no Acceptance Notice has been provided to the Company within the required time, HOC will be deemed to have elected not to subscribe for or purchase any such Additional Securities. If HOC fails to deliver the Option Exercise Notice on or before the Option Expiration Date, HOC shall be deemed to have waived its rights under this Section 2.1. The rights granted to HOC under this Article 4 shall terminate and be of no further force or effect if HOC does not exercise Option and complete the purchase of the Additional Shares. If the Company intends to authorize and/or issue equity securities that give rise to the rights of HOC pursuant to Section 4.1(a), the Company shall provide notice to HOC (the ""Rights Notice"") no less than ten (10) business days before the date on which the Company intends to issue equity securities giving rise to the rights of HOC in Section 4.1(a). If the Company truncates the period during which the HOC JV Acceptance Notice is required to be returned by HOC, it shall include in the Joint Venture Proposal Notice a statement certified by an officer of the Company that the Company has determined that it is necessary to truncate such period to avoid losing the opportunity to make such acquisition or other related transaction and that it has used commercially reasonable efforts to avoid truncating such period. If HOC, acting reasonably, determines that the Joint Venture Proposal Notice contains insufficient information to make a reasoned decision in respect of participating in the Proposed Joint Venture, it shall notify the Company of the information required to make such decision and thereafter shall have the greater of (i) five (5) Business Days from the receipt of such information from the Company, and (ii) the days remaining in the period specified in Section 6.2 to make such decision and deliver or refrain from delivering the HOC JV Acceptance Notice in accordance with such Section 6.2. In the event HOC fails to provide the Financing Election as set forth above, the Company shall be free to obtain such financing from one or more additional parties, free of any obligation to HOC. From and after the Closing Date and until 5:00 pm Denver time on the date which is eighty (80) days from the Closing Date (the ""Option Expiration Date""), HOC shall have the option (the ""Option""), at its sole discretion, to subscribe for all, but not less than all, of an additional 4,330,000 Shares from the Company (the ""Additional Shares"") at a price of US$3.00 per share, or a total of US$12,990,000.",Rofr/Rofo/Rofn
This Agreement may not be assigned by either party except with the prior written consent of the other parties hereto.,Anti-Assignment
"In the event HOC exercises the Option, the Company agrees to use not less than five million U.S. Dollars (US$5,000,000) of the proceeds from the subscription of the Purchased Shares and the Additional Shares to fund exploration activities (including but not limited to drilling, assaying and staking new claims) on the El Aguila project.",Minimum Commitment
"The Company shall, to the extent and for so long as HOC Entities hold at least 14.5% of the Shares on a non-diluted basis, upon HOC's request, permit representatives of the HOC Entities to have access to the site and any of the premises where the business and operations of the Company and its Subsidiaries are conducted and access and duplicating rights (and use commercially reasonable efforts to cause persons or firms possessing such documentation or information to give similar access and duplicating rights) to the Company and its Subsidiaries' books of account and records and such other documents, communications, items and matters, within the knowledge, possession or control of the Company, which HOC may reasonably request, at HOC's own cost (other than those it is permitted to examine and make copies of free of charge pursuant to applicable Laws) provided that, except to the extent the information can be provided in the necessary course of business of the Company, acting reasonably including to provide HOC Entities with information to assist the HOC Entities and their advisors with the preparation of the financial statements for such HOC Entities, nothing herein shall require the Company to provide HOC Entities with any information which would constitute a material fact with respect to the Company which has not been generally disclosed.",Audit Rights
"So long as HOC is entitled to nominate and maintain a director pursuant to this Article 5, the Company shall indemnify each current and former HOC Director and shall maintain director's and officer's liability insurance for the benefit of each such director, with the same rights and benefits as are accorded the directors of the Company generally.",Insurance
"Thereafter, this Agreement shall be renewed automatically on a five (5) year basis, unless one party notifies the other of its desire to terminate this Agreement at least sixty 90 days prior to the expiration of the Initial Term or then current renewal term, as applicable, or unless a new Agreement is signed between the USA MCO and IMedicor which will then invalidate this Agreement.",Renewal Term
This Agreement shall be governed by the internal laws State of New York.,Governing Law
"Both parties may terminate this Agreement upon ninety (""90"") days written notice to the other party at the address stated in this Agreement as per section 3 above.",Termination For Convenience
The license granted hereunder is specific to the USA MCO and may not be assigned by any act of the USA MCO or by operation of law unless with the written consent of IMedicor.,Anti-Assignment
"In addition to the subscription fees, iMedicor would offer a 17% revenue share (cash payout only) through revenues generated with its ClearLobby program. USA MCO will have the option to take all or part of its revenue share in equity up to a maximum of 4.9% ownership in iMedicor on a fully diluted basis. IMedicor will provide a warrant to purchase 2 million shares of common stock to USA MCO to offset any up-front marketing expense incurred by USA MCO in this project. All revenue sharing opportunities will be calculated for all parties after any credit card or other third party processing fees are deducted from the gross sale. USA MCO would receive one third of the monthly subscription price, per month, per subscriber (approximately $6.65).",Revenue/Profit Sharing
"In such an instance, all compensation will continue for a extended period of five years from the date of termination for all subscriptions tagged as USA MCO.",Post-Termination Services
IMedicor will make its records available for audit purposes at any time by USA MCO during regular business hours at the headquarters of iMedicor.,Audit Rights
Both parties will not have liability for any damages other than direct damages.,Cap On Liability
"The term of this Agreement is twelve (12) months from the date hereof, and will be automatically renewed for one (1) additional twelve month period unless either party shall notify the other in writing of its intention not to renew.",Renewal Term
This Agreement is entered into in the State of Texas and shall be interpreted according to the laws of the State of Texas.,Governing Law
This Agreement may also be terminated by either party upon ninety (90) days written notice.,Termination For Convenience
This Agreement shall not be assignable by either party without the prior written consent of the other party.,Anti-Assignment
"For any Product or Solution sold to any perspective clients introduced by Bravatek registered with Fazync via email to IHSI's CEO, Devon Jones, and delivered through Bravatek or a Fazync -designated distribution affiliate(s) or sales channel(s), Bravatek will receive a lead-finder fee, to be mutually discussed and finally decided by Fazync at the range of minimum of 10% to maximum of 20% of project revenue, with an exact fee to be depending upon the overall project sales margin and cost of development and delivery of each project, payable NET 30 days after each client payment on delivered products received at Fazync bank account.",Revenue/Profit Sharing
"For any Product or Solution sold to any perspective clients introduced by Bravatek registered with Fazync via email to IHSI's CEO, Devon Jones, and delivered through Bravatek or a Fazync -designated distribution affiliate(s) or sales channel(s), Bravatek will receive a lead-finder fee, to be mutually discussed and finally decided by Fazync at the range of minimum of 10% to maximum of 20% of project revenue, with an exact fee to be depending upon the overall project sales margin and cost of development and delivery of each project, payable NET 30 days after each client payment on delivered products received at Fazync bank account.",Minimum Commitment
"This Agreement is governed by the laws of Victoria, Australia and the parties submit to the jurisdiction of the courts of Victoria, Australia",Governing Law
